gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000086877,A230072C01Rik,RIKEN cDNA A230072C01 gene,NCBIGene:320742,
ENSMUSG00000054737,Zfp182,zinc finger protein 182,NCBIGene:319535,
ENSMUSG00000037167,Spaca5,sperm acrosome associated 5,NCBIGene:278203,
ENSMUSG00000031079,Zfp300,zinc finger protein 300,NCBIGene:245368,
ENSMUSG00000062814,Ssxa1,"synovial sarcoma, X member A1",,
ENSMUSG00000095316,Gm21876,"predicted gene, 21876",,
ENSMUSG00000087358,4930453H23Rik,RIKEN cDNA 4930453H23 gene,NCBIGene:100503481,
ENSMUSG00000087586,Gm6938,predicted gene 6938,NCBIGene:629024,
ENSMUSG00000068122,Agtr2,"angiotensin II receptor, type 2",NCBIGene:11609,
ENSMUSG00000031089,Slc6a14,"solute carrier family 6 (neurotransmitter transporter), member 14",NCBIGene:56774,
ENSMUSG00000101818,Gm28269,predicted gene 28269,NCBIGene:100043180,
ENSMUSG00000101776,Gm28268,predicted gene 28268,,
ENSMUSG00000036782,Klhl13,kelch-like 13,NCBIGene:67455,
ENSMUSG00000036769,Wdr44,WD repeat domain 44,NCBIGene:72404,
ENSMUSG00000068113,Gm4907,predicted gene 4907,NCBIGene:236749,
ENSMUSG00000090102,Gm4985,predicted gene 4985,NCBIGene:245376,
ENSMUSG00000087133,Gm27192,predicted gene 27192,,
ENSMUSG00000084063,Gm5934,predicted gene 5934,NCBIGene:546272,
ENSMUSG00000081218,Gm4297,predicted gene 4297,NCBIGene:100043216,
ENSMUSG00000093923,Gm5935,predicted gene 5935,NCBIGene:546282,
ENSMUSG00000096620,Gm5169,predicted gene 5169,NCBIGene:382277,
ENSMUSG00000073267,Gm1993,predicted gene 1993,NCBIGene:100038977,
ENSMUSG00000086959,E330010L02Rik,RIKEN cDNA E330010L02 gene,,
ENSMUSG00000079655,Gm5168,predicted gene 5168,NCBIGene:382275,
ENSMUSG00000082639,Gm2012,predicted gene 2012,NCBIGene:100039030,
ENSMUSG00000083628,Gm2030,predicted gene 2030,NCBIGene:100039065,
ENSMUSG00000095063,Slx,Sycp3 like X-linked,NCBIGene:664829,
ENSMUSG00000071788,Gm14525,predicted gene 14525,NCBIGene:100039120,
ENSMUSG00000080725,Gm6121,predicted gene 6121,NCBIGene:619991,
ENSMUSG00000095546,Gm10230,predicted gene 10230,NCBIGene:100042175,
ENSMUSG00000093817,Gm2101,predicted gene 2101,NCBIGene:108168459,
ENSMUSG00000095293,Gm10058,predicted gene 10058,NCBIGene:100039240,
ENSMUSG00000085534,Gm2117,predicted gene 2117,,
ENSMUSG00000094624,Gm4836,predicted gene 4836,NCBIGene:22526,
ENSMUSG00000096457,Gm10147,predicted gene 10147,NCBIGene:100039324,
ENSMUSG00000096911,Gm2165,predicted gene 2165,,
